t_sec,q_nom_waist_roll_joint,q_nom_waist_pitch_joint,q_nom_left_shoulder_pitch_joint,q_nom_left_shoulder_roll_joint,q_nom_left_elbow_joint,q_nom_right_shoulder_pitch_joint,q_nom_right_shoulder_roll_joint,q_nom_right_elbow_joint,q_cbf_waist_roll_joint,q_cbf_waist_pitch_joint,q_cbf_left_shoulder_pitch_joint,q_cbf_left_shoulder_roll_joint,q_cbf_left_elbow_joint,q_cbf_right_shoulder_pitch_joint,q_cbf_right_shoulder_roll_joint,q_cbf_right_elbow_joint,correction_norm,hr_unsafe_clearance__left_arm__right_upper_arm,hr_safe_clearance__left_arm__right_upper_arm,hr_unsafe_clearance__left_arm__right_forearm_hand,hr_safe_clearance__left_arm__right_forearm_hand,hr_unsafe_clearance__left_upper_arm__right_upper_arm,hr_safe_clearance__left_upper_arm__right_upper_arm,hr_unsafe_clearance__left_upper_arm__right_forearm_hand,hr_safe_clearance__left_upper_arm__right_forearm_hand,hr_unsafe_clearance__torso__right_upper_arm,hr_safe_clearance__torso__right_upper_arm,hr_unsafe_clearance__torso__right_forearm_hand,hr_safe_clearance__torso__right_forearm_hand,hr_unsafe_clearance__left_arm__torso,hr_safe_clearance__left_arm__torso,hr_unsafe_clearance__left_upper_arm__torso,hr_safe_clearance__left_upper_arm__torso,hr_unsafe_clearance__left_arm__right_thigh,hr_safe_clearance__left_arm__right_thigh,hr_unsafe_clearance__torso__torso,hr_safe_clearance__torso__torso,hr_unsafe_global_min_clearance,hr_safe_global_min_clearance,hr_unsafe_global_min_pair,hr_safe_global_min_pair
10.006801710991908,0.0,0.0,0.0,0.0,1.5708,0.0,0.0,1.5708,-4.578268306165425e-51,6.467394669208813e-49,3.6720899590493603e-50,-1.0490243718760962e-49,1.5708,3.670852540228551e-50,1.0544637020371132e-49,1.5708,6.656668064691019e-49,0.3905940260353176,0.3905940260353176,0.3121250193625192,0.3121250193625192,0.38620653856208326,0.38620653856208326,0.37205892087767156,0.37205892087767156,0.4856149047261067,0.4856149047261067,0.4451193119383988,0.4451193119383988,0.4372731800269129,0.4372731800269129,0.4472610776656227,0.4472610776656227,0.4060304698396752,0.4060304698396752,0.5500098242327254,0.5500098242327254,0.3121250193625192,0.3121250193625192,left_arm__right_forearm_hand,left_arm__right_forearm_hand
10.026801710991908,0.0,0.0,0.0,0.0,1.5708,0.0,0.0,1.5708,-2.8565963432739304e-51,4.035310892044444e-49,2.291189167543362e-50,-6.545355108766776e-50,1.5708,2.290417083899015e-50,6.57929364099936e-50,1.5708,4.153407441494242e-49,0.3905627745855543,0.3905627745855543,0.31194075001376803,0.31194075001376803,0.386176670758878,0.386176670758878,0.37196546380765483,0.37196546380765483,0.4855494269120061,0.4855494269120061,0.44496845058350887,0.44496845058350887,0.4372731800269129,0.4372731800269129,0.4472417064817526,0.4472417064817526,0.4059484715145755,0.4059484715145755,0.5500098242327254,0.5500098242327254,0.31194075001376803,0.31194075001376803,left_arm__right_forearm_hand,left_arm__right_forearm_hand
10.046801710991907,0.0,0.0,0.0,0.0,1.5708,0.0,0.0,1.5708,-2.102513380710534e-51,2.970071415874809e-49,1.6863621259760898e-50,-4.817515337820529e-50,1.5708,1.6857938566099645e-50,4.842494792236166e-50,1.5708,3.05699289360427e-49,0.39079373699848124,0.39079373699848124,0.31133408756444964,0.31133408756444964,0.3864382797249179,0.3864382797249179,0.37188380890261635,0.37188380890261635,0.4857649533831806,0.4857649533831806,0.4445570946206001,0.4445570946206001,0.4372731800269129,0.4372731800269129,0.44720301550243385,0.44720301550243385,0.40578600600308384,0.40578600600308384,0.5500098242327254,0.5500098242327254,0.31133408756444964,0.31133408756444964,left_arm__right_forearm_hand,left_arm__right_forearm_hand
10.066801710991907,0.0,0.0,0.0,0.0,1.5708,0.0,0.0,1.5708,-1.3535493915836547e-51,1.912063150132612e-49,1.0856408575308425e-50,-3.101404735054884e-50,1.5708,1.0852750188818085e-50,3.1174859289424344e-50,1.5708,1.9680211832065818e-49,0.39102551286368986,0.39102551286368986,0.31072745349839004,0.31072745349839004,0.3867005494693045,0.3867005494693045,0.3718003899624771,0.3718003899624771,0.4859810373442497,0.4859810373442497,0.44414350000933445,0.44414350000933445,0.4372731800269129,0.4372731800269129,0.4471641828114035,0.4471641828114035,0.4056238023866185,0.4056238023866185,0.5500098242327254,0.5500098242327254,0.31072745349839004,0.31072745349839004,left_arm__right_forearm_hand,left_arm__right_forearm_hand
10.086801710991907,0.0,0.0,0.0,0.0,1.5708,0.0,0.0,1.5708,-8.928940161999841e-52,1.2613279987901982e-49,7.161631717756185e-51,-2.045899282999053e-50,1.5708,7.159218395105027e-51,2.056507541467365e-50,1.5708,1.298241755466347e-49,0.39074319818021924,0.39074319818021924,0.31038292521821187,0.31038292521821187,0.38643917185958526,0.38643917185958526,0.3715347566582234,0.3715347566582234,0.4857274855391883,0.4857274855391883,0.4438176178533533,0.4438176178533533,0.4372731800269129,0.4372731800269129,0.4470878548633937,0.4470878548633937,0.4053953762602554,0.4053953762602554,0.5500098242327254,0.5500098242327254,0.31038292521821187,0.31038292521821187,left_arm__right_forearm_hand,left_arm__right_forearm_hand
10.106801710991906,0.0,0.0,0.0,0.0,1.5708,0.0,0.0,1.5708,-5.479739528205561e-52,7.740839077876652e-50,4.395132647125915e-51,-1.255579606131705e-50,1.5708,4.3936515777844337e-51,1.262089952510957e-50,1.5708,7.967380826306905e-50,0.3901699774404552,0.3901699774404552,0.3102529997490388,0.3102529997490388,0.38586813758871746,0.38586813758871746,0.3711757630524845,0.3711757630524845,0.48518907266625655,0.48518907266625655,0.44359001974988177,0.44359001974988177,0.4372731800269129,0.4372731800269129,0.4469928322503543,0.4469928322503543,0.4051316803868897,0.4051316803868897,0.5500098242327254,0.5500098242327254,0.3102529997490388,0.3102529997490388,left_arm__right_forearm_hand,left_arm__right_forearm_hand
10.126801710991906,0.0,0.0,0.0,0.0,1.5708,0.0,0.0,1.5708,-3.843978934249752e-52,5.430116193591985e-50,3.0831387553776426e-51,-8.807757250871326e-51,1.5708,3.082099801004079e-51,8.853426637541441e-51,1.5708,5.589032818043142e-50,0.3897301935656268,0.3897301935656268,0.3102915054103216,0.3102915054103216,0.3853846000640983,0.3853846000640983,0.37089778175802346,0.37089778175802346,0.48470333013077027,0.48470333013077027,0.44351100976310476,0.44351100976310476,0.4372731800269129,0.4372731800269129,0.4469184031739593,0.4469184031739593,0.4048935007217433,0.4048935007217433,0.5500098242327254,0.5500098242327254,0.3102915054103216,0.3102915054103216,left_arm__right_forearm_hand,left_arm__right_forearm_hand
10.146801710991905,0.0,0.0,0.0,0.0,1.5708,0.0,0.0,1.5708,-2.8714651805535915e-52,4.056315043074718e-50,2.3031150103350256e-51,-6.579424262526984e-51,1.5708,2.3023389079268436e-51,6.61353944782939e-51,1.5708,4.17502629553679e-50,0.38959462618253154,0.38959462618253154,0.31022075363228635,0.31022075363228635,0.3852313627903971,0.3852313627903971,0.3707747391105235,0.3707747391105235,0.4845459774647496,0.4845459774647496,0.44342263056339704,0.44342263056339704,0.4372731800269129,0.4372731800269129,0.4468803449886452,0.4468803449886452,0.4047781013621366,0.4047781013621366,0.5500098242327254,0.5500098242327254,0.31022075363228635,0.31022075363228635,left_arm__right_forearm_hand,left_arm__right_forearm_hand
10.166801710991905,0.0,0.0,0.0,0.0,1.5708,0.0,0.0,1.5708,-1.898951426857431e-52,2.6825138925574505e-50,1.5230912652924085e-51,-4.351091274182642e-51,1.5708,1.522578014849608e-51,4.3736522581173393e-51,1.5708,2.761019773030437e-50,0.38968338860303603,0.38968338860303603,0.3100693181502605,0.3100693181502605,0.38532179161392527,0.38532179161392527,0.3707664293490659,0.3707664293490659,0.4846308835533447,0.4846308835533447,0.4433280222131284,0.4433280222131284,0.4372731800269129,0.4372731800269129,0.4468693678579763,0.4468693678579763,0.404753394388134,0.404753394388134,0.5500098242327254,0.5500098242327254,0.3100693181502605,0.3100693181502605,left_arm__right_forearm_hand,left_arm__right_forearm_hand
10.186801710991904,0.0,0.0,0.0,0.0,1.5708,0.0,0.0,1.5708,-1.4742623113964789e-52,2.0825857237115234e-50,1.1824610242683978e-51,-3.3779957655837137e-51,1.5708,1.1820625592137229e-51,3.3955111205593735e-51,1.5708,2.1435342341196365e-50,0.3897721606688969,0.3897721606688969,0.30991788664151493,0.30991788664151493,0.3854122292433409,0.3854122292433409,0.3707579793695298,0.3707579793695298,0.4847157981157426,0.4847157981157426,0.4432332738116824,0.4432332738116824,0.4372731800269129,0.4372731800269129,0.446858381972466,0.446858381972466,0.40472868286861524,0.40472868286861524,0.5500098242327254,0.5500098242327254,0.30991788664151493,0.30991788664151493,left_arm__right_forearm_hand,left_arm__right_forearm_hand
10.206801710991904,0.0,0.0,0.0,0.0,1.5708,0.0,0.0,1.5708,-1.0963643448316382e-52,1.5487560896608028e-50,8.7936054265198e-52,-2.5121134046153048e-51,1.5708,8.790642162280934e-52,2.5251390449873987e-51,1.5708,1.5940816556509955e-50,0.3898286117645166,0.3898286117645166,0.3097966335737786,0.3097966335737786,0.3854634853625331,0.3854634853625331,0.37073485263652456,0.37073485263652456,0.4847544146849041,0.4847544146849041,0.44315458769496086,0.44315458769496086,0.4372731800269129,0.4372731800269129,0.4468466279541657,0.4468466279541657,0.4046877828032784,0.4046877828032784,0.5500098242327254,0.5500098242327254,0.3097966335737786,0.3097966335737786,left_arm__right_forearm_hand,left_arm__right_forearm_hand
10.226801710991904,0.0,0.0,0.0,0.0,1.5708,0.0,0.0,1.5708,-7.225364425994248e-53,1.02067594659835e-50,5.7952453602240335e-52,-1.655556833212963e-51,1.5708,5.793292481683496e-52,1.6641411144342547e-51,1.5708,1.0505468315498197e-50,0.389976152332595,0.389976152332595,0.30972841947645563,0.30972841947645563,0.3855736847239977,0.3855736847239977,0.3707354187478935,0.3707354187478935,0.4848122627095276,0.4848122627095276,0.44313513910301283,0.44313513910301283,0.4372731800269129,0.4372731800269129,0.44683250911512956,0.44683250911512956,0.4046677088851888,0.4046677088851888,0.5500098242327254,0.5500098242327254,0.30972841947645563,0.30972841947645563,left_arm__right_forearm_hand,left_arm__right_forearm_hand
