t_sec,q_nom_waist_roll_joint,q_nom_waist_pitch_joint,q_nom_left_shoulder_pitch_joint,q_nom_left_shoulder_roll_joint,q_nom_left_elbow_joint,q_nom_right_shoulder_pitch_joint,q_nom_right_shoulder_roll_joint,q_nom_right_elbow_joint,q_cbf_waist_roll_joint,q_cbf_waist_pitch_joint,q_cbf_left_shoulder_pitch_joint,q_cbf_left_shoulder_roll_joint,q_cbf_left_elbow_joint,q_cbf_right_shoulder_pitch_joint,q_cbf_right_shoulder_roll_joint,q_cbf_right_elbow_joint,correction_norm,self_unsafe_clearance__left_arm__right_arm,self_safe_clearance__left_arm__right_arm,self_unsafe_clearance__left_arm__torso,self_safe_clearance__left_arm__torso,self_unsafe_clearance__right_arm__torso,self_safe_clearance__right_arm__torso,self_unsafe_clearance__left_arm__left_thigh,self_safe_clearance__left_arm__left_thigh,self_unsafe_clearance__right_arm__right_thigh,self_safe_clearance__right_arm__right_thigh,self_unsafe_global_min_clearance,self_safe_global_min_clearance,self_unsafe_global_min_pair,self_safe_global_min_pair
8.001181304001314,0.0,0.0,0.0,0.0,1.5708,0.0,0.0,1.5708,-0.001959222121934787,0.06781672304233237,0.27508293662959854,0.29564055637679604,1.6138718078808525,0.2592766574343507,-0.29747826477651507,1.6153437277914764,0.5720436473727604,0.16561060951136836,0.2783399796500968,-0.016456828261696088,0.04357087095535367,-0.016466778921413905,0.04343025132554745,-0.09503166281295383,0.08266363375505051,-0.09504063407557842,0.07985579564230624,-0.09504063407557842,0.04343025132554745,right_arm__right_thigh,right_arm__torso
8.021181304001313,0.0,0.0,0.0,0.0,1.5708,0.0,0.0,1.5708,-0.0019419170173678182,0.06777120269817245,0.2736499403384082,0.29562748369638137,1.613851804581286,0.25800308468019284,-0.29748263425405486,1.6153089572899089,0.5707649432688507,0.16561060951136836,0.2783725808694655,-0.016456828261696088,0.04352462064147988,-0.016466778921413905,0.04339491487683361,-0.09503166281295383,0.0822786995547711,-0.09504063407557842,0.07951671069703187,-0.09504063407557842,0.04339491487683361,right_arm__right_thigh,right_arm__torso
8.041181304001313,0.0,0.0,0.0,0.0,1.5708,0.0,0.0,1.5708,-0.0019246119128008491,0.06772568235401255,0.27221694404721797,0.2956144110159667,1.6138318012817192,0.25672951192603505,-0.29748700373159465,1.6152741867883416,0.5694898293236414,0.16561060951136836,0.27840497427981914,-0.016456828261696088,0.04347864863780182,-0.016466778921413905,0.04335980519345131,-0.09503166281295383,0.08189426750233483,-0.09504063407557842,0.07917809261345288,-0.09504063407557842,0.04335980519345131,right_arm__right_thigh,right_arm__torso
8.061181304001312,0.0,0.0,0.0,0.0,1.5708,0.0,0.0,1.5708,-0.001913650493613468,0.06769478004618983,0.27071483677974034,0.295601646286632,1.6138235547886257,0.2553878306242345,-0.2974934024888287,1.6152526309526651,0.5681596894046241,0.16561060951136836,0.2784392425606962,-0.016456828261696088,0.04343093105554863,-0.016466778921413905,0.04332339163621848,-0.09503166281295383,0.08149430722604811,-0.09504063407557842,0.07882721500044954,-0.09504063407557842,0.04332339163621848,right_arm__right_thigh,right_arm__torso
8.081181304001312,0.0,0.0,0.0,0.0,1.5708,0.0,0.0,1.5708,-0.001911594616249805,0.06768439917443961,0.2691157085137457,0.29558931387243564,1.613831813012506,0.25395053557690733,-0.2975026500372792,1.6152496264405076,0.5667515740170999,0.16561060951136836,0.27847618885132186,-0.016456828261696088,0.04338069929211827,-0.016466778921413905,0.043285100235333496,-0.09503166281295383,0.08107242349519492,-0.09504063407557842,0.07845902644771618,-0.09504063407557842,0.043285100235333496,right_arm__right_thigh,right_arm__torso
8.101181304001312,0.0,0.0,0.0,0.0,1.5708,0.0,0.0,1.5708,-0.0019095387388861423,0.0676740183026894,0.26751658024775116,0.29557698145823924,1.6138400712363863,0.2525132405295802,-0.2975118975857297,1.61524662192835,0.5653481295162566,0.16561060951136836,0.27851287358813703,-0.016456828261696088,0.0433308163006485,-0.016466778921413905,0.04324709904450935,-0.09503166281295383,0.08065116847383791,-0.09504063407557842,0.07809144112304076,-0.09504063407557842,0.04324709904450935,right_arm__right_thigh,right_arm__torso
8.121181304001311,0.0,0.0,0.0,0.0,1.5708,0.0,0.0,1.5708,-0.0019038073252692158,0.0676743167767872,0.26598292959697867,0.29556592282042,1.6138573958859206,0.25113643451677387,-0.297521017563236,1.6152521035452254,0.5640104295905778,0.16561060951136836,0.2785479332973473,-0.016456828261696088,0.043283445077689636,-0.016466778921413905,0.043211016600230495,-0.09503166281295383,0.08025084659861006,-0.09504063407557842,0.07774144185499246,-0.09504063407557842,0.043211016600230495,right_arm__right_thigh,right_arm__torso
8.14118130400131,0.0,0.0,0.0,0.0,1.5708,0.0,0.0,1.5708,-0.001888488693691725,0.0677024711089874,0.2646200698527344,0.295558186683297,1.6138983692748161,0.24991740726554557,-0.2975298047864546,1.6152797202637776,0.5628358767950785,0.16561060951136836,0.27857922179166533,-0.016456828261696088,0.043242002422125336,-0.016466778921413905,0.043179419265372526,-0.09503166281295383,0.07990399068866638,-0.09504063407557842,0.07743621536361955,-0.09504063407557842,0.043179419265372526,right_arm__right_thigh,right_arm__torso
8.16118130400131,0.0,0.0,0.0,0.0,1.5708,0.0,0.0,1.5708,-0.0018731700621142339,0.0677306254411876,0.26325721010849007,0.29555045054617396,1.6139393426637116,0.24869838001431727,-0.29753859200967314,1.6153073369823296,0.5616648268927372,0.16561060951136836,0.2786103217044269,-0.016456828261696088,0.04320081452981095,-0.016466778921413905,0.04314803138206441,-0.09503166281295383,0.07955759943083124,-0.09504063407557842,0.07713141530086623,-0.09504063407557842,0.04314803138206441,right_arm__right_thigh,right_arm__torso
8.18118130400131,0.0,0.0,0.0,0.0,1.5708,0.0,0.0,1.5708,-0.001857851430536743,0.0677587797733878,0.2618943503642458,0.29554271440905094,1.6139803160526072,0.24747935276308894,-0.29754737923289176,1.6153349537008816,0.5604973018393925,0.16561060951136836,0.2786412329827082,-0.016456828261696088,0.0431598819429852,-0.016466778921413905,0.04311685330266288,-0.09503166281295383,0.07921167777301538,-0.09504063407557842,0.0768270454026416,-0.09504063407557842,0.04311685330266288,right_arm__right_thigh,right_arm__torso
