t_sec,unsafe_waist_roll_joint,unsafe_waist_pitch_joint,unsafe_left_shoulder_pitch_joint,unsafe_left_shoulder_roll_joint,unsafe_left_elbow_joint,unsafe_right_shoulder_pitch_joint,unsafe_right_shoulder_roll_joint,unsafe_right_elbow_joint,safe_waist_roll_joint,safe_waist_pitch_joint,safe_left_shoulder_pitch_joint,safe_left_shoulder_roll_joint,safe_left_elbow_joint,safe_right_shoulder_pitch_joint,safe_right_shoulder_roll_joint,safe_right_elbow_joint,unsafe_rep1_h,unsafe_rep2_h,unsafe_global_min_h,unsafe_global_min_pair,safe_rep1_h,safe_rep2_h,safe_global_min_h,safe_global_min_pair
0.0,0.5034338857459505,0.52,-0.14823434259295498,0.06538883559368933,1.438926854142974,-1.9521874933470897,-1.305768655122353,1.3764720813788738,0.058273021540538046,0.0693074054703849,-0.013109744195485943,0.023638079769021464,1.5632946535549002,-0.1989970906980048,-0.1965946478216039,1.6133062311446806,0.08203770301558112,0.2133685894122374,0.07026993276428124,left_arm__right_upper_arm,0.08999495402795109,0.19011473361469378,0.07999495238882336,left_arm__right_upper_arm
0.015645265579223633,0.5034338857459505,0.52,-0.148234342592955,0.06538883559368933,1.438926854142974,-1.9521874933470897,-1.305768655122353,1.3764720813788738,0.058273021540538046,0.0693074054703849,-0.013109744195485943,0.023638079769021464,1.5632946535549002,-0.1989970906980048,-0.1965946478216039,1.6133062311446806,0.08203770301558112,0.2133685894122374,0.07026993276428124,left_arm__right_upper_arm,0.08999495402795109,0.19011473361469378,0.07999495238882336,left_arm__right_upper_arm
0.03164505958557129,0.5034338857459505,0.52,-0.14823434259295498,0.06538883559368933,1.438926854142974,-1.9521874933470897,-1.305768655122353,1.3764720813788738,0.058273021540538046,0.0693074054703849,-0.013109744195485943,0.023638079769021464,1.5632946535549002,-0.1989970906980048,-0.1965946478216039,1.6133062311446806,0.08203770301558112,0.2133685894122374,0.07026993276428124,left_arm__right_upper_arm,0.08999495402795109,0.19011473361469378,0.07999495238882336,left_arm__right_upper_arm
0.04814553260803223,0.5034338857459505,0.52,-0.14823434259295498,0.06538883559368933,1.438926854142974,-1.9521874933470897,-1.305768655122353,1.3764720813788738,0.058273021540538046,0.0693074054703849,-0.013109744195485943,0.023638079769021464,1.5632946535549002,-0.1989970906980048,-0.1965946478216039,1.6133062311446806,0.08203770301558112,0.2133685894122374,0.07026993276428124,left_arm__right_upper_arm,0.08999495402795109,0.19011473361469378,0.07999495238882336,left_arm__right_upper_arm
0.0647740364074707,0.5040738752563396,0.52,-0.14764409506459975,0.06504191299121233,1.4385348533264395,-1.9532963349045938,-1.3068402333492775,1.3805390216420836,0.058273021540538046,0.0693074054703849,-0.013109744195485943,0.023638079769021464,1.5632946535549002,-0.1989970906980048,-0.1965946478216039,1.6133062311446806,0.0822252872945101,0.2135319545446151,0.07045867002535232,left_arm__right_upper_arm,0.08999495402795109,0.19011473361469378,0.07999495238882336,left_arm__right_upper_arm
0.08143734931945801,0.5052178457991235,0.52,-0.146589037482517,0.06442179464330637,1.4378341584250645,-1.955278370637692,-1.308755661502381,1.387808609322584,0.058273021540538046,0.0693074054703849,-0.013109744195485943,0.023638079769021464,1.5632946535549002,-0.1989970906980048,-0.1965946478216039,1.6133062311446806,0.08256051189895587,0.213823967605273,0.07079597233824282,left_arm__right_upper_arm,0.08999495402795109,0.19011473361469378,0.07999495238882336,left_arm__right_upper_arm
0.09861421585083008,0.5057747178455385,0.52,-0.14607544726944202,0.06411992797759888,1.43749306799568,-1.9562432034314383,-1.3096880704722689,1.3913473631775402,0.058273021540538046,0.0693074054703849,-0.013109744195485943,0.023638079769021464,1.5632946535549002,-0.1989970906980048,-0.1965946478216039,1.6133062311446806,0.08272365853098822,0.2139661164092969,0.07096013815759307,left_arm__right_upper_arm,0.08999495402795109,0.19011473361469378,0.07999495238882336,left_arm__right_upper_arm
0.11681485176086426,0.5057747178455385,0.52,-0.14607544726944202,0.06411992797759888,1.43749306799568,-1.9562432034314383,-1.3096880704722689,1.3913473631775402,0.058273021540538046,0.0693074054703849,-0.013109744195485943,0.023638079769021464,1.5632946535549002,-0.1989970906980048,-0.1965946478216039,1.6133062311446806,0.08272365853098822,0.2139661164092969,0.07096013815759307,left_arm__right_upper_arm,0.08999495402795109,0.19011473361469378,0.07999495238882336,left_arm__right_upper_arm
0.13140583038330078,0.5070747265617115,0.52,-0.14487647928777175,0.06341522516648045,1.4366967979475473,-1.958495589863106,-1.311864764015599,1.3996085263755327,0.058273021540538046,0.0693074054703849,-0.013109744195485943,0.023638079769021464,1.5632946535549002,-0.1989970906980048,-0.1965946478216039,1.6133062311446806,0.08445415118739615,0.21576186456378316,0.072435717865225,left_arm__right_upper_arm,0.0909018069160047,0.19169496347227916,0.08090180527687697,left_arm__right_upper_arm
0.14817261695861816,0.5070747265617115,0.52,-0.14487647928777175,0.06341522516648045,1.4366967979475473,-1.958495589863106,-1.311864764015599,1.3996085263755327,0.058273021540538046,0.0693074054703849,-0.013109744195485943,0.023638079769021464,1.5632946535549002,-0.1989970906980048,-0.1965946478216039,1.6133062311446806,0.08445415118739615,0.21576186456378316,0.072435717865225,left_arm__right_upper_arm,0.0909018069160047,0.19169496347227916,0.08090180527687697,left_arm__right_upper_arm
