t_sec,q_nom_waist_roll_joint,q_nom_waist_pitch_joint,q_nom_left_shoulder_pitch_joint,q_nom_left_shoulder_roll_joint,q_nom_left_elbow_joint,q_nom_right_shoulder_pitch_joint,q_nom_right_shoulder_roll_joint,q_nom_right_elbow_joint,q_cbf_waist_roll_joint,q_cbf_waist_pitch_joint,q_cbf_left_shoulder_pitch_joint,q_cbf_left_shoulder_roll_joint,q_cbf_left_elbow_joint,q_cbf_right_shoulder_pitch_joint,q_cbf_right_shoulder_roll_joint,q_cbf_right_elbow_joint,correction_norm,self_unsafe_clearance__left_arm__right_arm,self_safe_clearance__left_arm__right_arm,self_unsafe_clearance__left_arm__torso,self_safe_clearance__left_arm__torso,self_unsafe_clearance__right_arm__torso,self_safe_clearance__right_arm__torso,self_unsafe_clearance__left_arm__left_thigh,self_safe_clearance__left_arm__left_thigh,self_unsafe_clearance__right_arm__right_thigh,self_safe_clearance__right_arm__right_thigh,self_unsafe_global_min_clearance,self_safe_global_min_clearance,self_unsafe_global_min_pair,self_safe_global_min_pair
8.006730123005614,0.0,0.0,0.0,0.0,1.5708,0.0,0.0,1.5708,2.362835168691559e-06,0.009246060448694375,0.015671162427734826,0.31140504708646655,1.579034280470397,0.015673424446032227,-0.3113247603504672,1.5790359084222731,0.4411446186067686,0.16561060951136836,0.2867242268233961,-0.016456828261696088,0.04368078770550937,-0.016466778921413905,0.043655792271155985,-0.09503166281295383,0.03287274596023343,-0.09504063407557842,0.03283106895136398,-0.09504063407557842,0.03283106895136398,right_arm__right_thigh,right_arm__right_thigh
8.026730123005613,0.0,0.0,0.0,0.0,1.5708,0.0,0.0,1.5708,2.3496864466838015e-06,0.00932494784233848,0.015743794721925244,0.3109574897418907,1.5790733838004833,0.0157460165079533,-0.3108772898342792,1.5790749943241933,0.44052120600234246,0.16561060951136836,0.28655710295769427,-0.016456828261696088,0.04359646915714302,-0.016466778921413905,0.043571487886157695,-0.09503166281295383,0.03270443583298491,-0.09504063407557842,0.03266279289879559,-0.09504063407557842,0.03266279289879559,right_arm__right_thigh,right_arm__right_thigh
8.046730123005613,0.0,0.0,0.0,0.0,1.5708,0.0,0.0,1.5708,2.337700554557831e-06,0.009396741165476346,0.01581030208901832,0.3105378107974208,1.5791091735439726,0.015812487831303502,-0.31045768354353637,1.5791107685104961,0.4399364904368006,0.16561060951136836,0.2864003589635851,-0.016456828261696088,0.04351740815321639,-0.016466778921413905,0.04349243851739279,-0.09503166281295383,0.03254644646246882,-0.09504063407557842,0.03250483196933765,-0.09504063407557842,0.03250483196933765,right_arm__right_thigh,right_arm__right_thigh
8.066730123005613,0.0,0.0,0.0,0.0,1.5708,0.0,0.0,1.5708,2.3252625725839557e-06,0.009474347265114844,0.015882286385796696,0.3101433794121717,1.5791479040378034,0.015884433288407326,-0.3100633070937307,1.5791494822554055,0.439388093896617,0.16561060951136836,0.2862530423864644,-0.016456828261696088,0.04344299128010756,-0.016466778921413905,0.0434180301363839,-0.09503166281295383,0.03239896553122293,-0.09504063407557842,0.03235737301157432,-0.09504063407557842,0.03235737301157432,right_arm__right_thigh,right_arm__right_thigh
8.086730123005612,0.0,0.0,0.0,0.0,1.5708,0.0,0.0,1.5708,2.312262542669986e-06,0.009559179935032568,0.0159610797207827,0.3097803363421394,1.5791902905364736,0.015963184307755653,-0.30970029693138607,1.5791918505235634,0.4388848460355033,0.16561060951136836,0.2861174562293672,-0.016456828261696088,0.04337435325444977,-0.016466778921413905,0.043349396691262115,-0.09503166281295383,0.03226455452334531,-0.09504063407557842,0.032222975928056424,-0.09504063407557842,0.032222975928056424,right_arm__right_thigh,right_arm__right_thigh
8.106730123005612,0.0,0.0,0.0,0.0,1.5708,0.0,0.0,1.5708,2.300008542704455e-06,0.009638968697712559,0.016035425347935763,0.3094321491350172,1.579230276871877,0.016037490507084428,-0.30935213223476177,1.5792318199100477,0.4384021070687738,0.16561060951136836,0.28598739661216843,-0.016456828261696088,0.043308529295382064,-0.016466778921413905,0.04328357542648065,-0.09503166281295383,0.03213553167525349,-0.09504063407557842,0.03209396283125823,-0.09504063407557842,0.03209396283125823,right_arm__right_thigh,right_arm__right_thigh
8.126730123005611,0.0,0.0,0.0,0.0,1.5708,0.0,0.0,1.5708,2.288756116367817e-06,0.00971198582275728,0.016103799757869186,0.3091039064898476,1.5792670408966496,0.01610582936619306,-0.3090238981414668,1.5792685687064891,0.437946863040927,0.16561060951136836,0.28586476527298016,-0.016456828261696088,0.043246487194624955,-0.016466778921413905,0.043221533485652,-0.09503166281295383,0.032013729790811074,-0.09504063407557842,0.03197216509514286,-0.09504063407557842,0.03197216509514286,right_arm__right_thigh,right_arm__right_thigh
8.14673012300561,0.0,0.0,0.0,0.0,1.5708,0.0,0.0,1.5708,2.2773181579732293e-06,0.009789245877701046,0.01617614353024731,0.30880661225224887,1.5793059377692265,0.0161781354791095,-0.3087265945031425,1.5793074494489545,0.4375358163908537,0.16561060951136836,0.2857537043562215,-0.016456828261696088,0.043190177610958363,-0.016466778921413905,0.04316522089225844,-0.09503166281295383,0.031904533168124055,-0.09504063407557842,0.031862965997447396,-0.09504063407557842,0.031862965997447396,right_arm__right_thigh,right_arm__right_thigh
8.16673012300561,0.0,0.0,0.0,0.0,1.5708,0.0,0.0,1.5708,2.2656737382075358e-06,0.009871227494697998,0.01625290443690296,0.3085437576189496,1.5793472080897497,0.016254856379797587,-0.3084637104913386,1.5793487026358586,0.437173952259898,0.16561060951136836,0.28565552447401876,-0.016456828261696088,0.04314025005719496,-0.016466778921413905,0.04311528679974569,-0.09503166281295383,0.03180936695679837,-0.09504063407557842,0.03176778993680626,-0.09504063407557842,0.03176778993680626,right_arm__right_thigh,right_arm__right_thigh
8.18673012300561,0.0,0.0,0.0,0.0,1.5708,0.0,0.0,1.5708,2.254883777673736e-06,0.009947139349436121,0.016324202627046036,0.3082987899865152,1.5793855340022658,0.016326117818881065,-0.30821870198022333,1.579387012842689,0.43683672881518804,0.16561060951136836,0.2855640137260613,-0.016456828261696088,0.04309371904248571,-0.016466778921413905,0.04306874716272269,-0.09503166281295383,0.031720668564475835,-0.09504063407557842,0.03167907706225473,-0.09504063407557842,0.03167907706225473,right_arm__right_thigh,right_arm__right_thigh
