t_sec,unsafe_waist_roll_joint,unsafe_waist_pitch_joint,unsafe_left_shoulder_pitch_joint,unsafe_left_shoulder_roll_joint,unsafe_left_elbow_joint,unsafe_right_shoulder_pitch_joint,unsafe_right_shoulder_roll_joint,unsafe_right_elbow_joint,safe_waist_roll_joint,safe_waist_pitch_joint,safe_left_shoulder_pitch_joint,safe_left_shoulder_roll_joint,safe_left_elbow_joint,safe_right_shoulder_pitch_joint,safe_right_shoulder_roll_joint,safe_right_elbow_joint,unsafe_pair__left_arm__right_arm,unsafe_pair__left_arm__torso,unsafe_pair__right_arm__torso,unsafe_pair__left_arm__left_thigh,unsafe_pair__right_arm__right_thigh,unsafe_global_min_h,unsafe_global_min_pair,safe_pair__left_arm__right_arm,safe_pair__left_arm__torso,safe_pair__right_arm__torso,safe_pair__left_arm__left_thigh,safe_pair__right_arm__right_thigh,safe_global_min_h,safe_global_min_pair
9.260556583000001,0.0,0.0,0.0,0.0,1.5708,0.0,0.0,1.5708,-2.3203088570113952e-05,0.029278734360580955,0.014271370123641238,0.01837356437072608,1.5644770969810853,0.01427256169232766,-0.018375900941554717,1.5644779104662256,0.1956149396262615,-0.0014546015146751634,-0.0014645788413552296,-0.08023503097215921,-0.08024572318710488,-0.08024572318710488,right_arm__right_thigh,0.20243985465492056,0.0016985061294116088,0.0016889225356531146,-0.06840038326696601,-0.06840254256418418,-0.06840254256418418,right_arm__right_thigh
9.277223387000001,0.0,0.0,0.0,0.0,1.5708,0.0,0.0,1.5708,-2.3203088570113952e-05,0.029278734360580955,0.014271370123641238,0.01837356437072608,1.5644770969810853,0.01427256169232766,-0.018375900941554717,1.5644779104662256,0.19561490013404256,-0.0014546210998367948,-0.0014645981898031013,-0.08023508143149088,-0.08024575904797283,-0.08024575904797283,right_arm__right_thigh,0.20243981518375867,0.0016984864872622296,0.0016889031308957303,-0.0684004503838665,-0.06840259288450973,-0.06840259288450973,right_arm__right_thigh
9.29326165,0.0,0.0,0.0,0.0,1.5708,0.0,0.0,1.5708,-2.3203088570113952e-05,0.029278734360580955,0.014271370123641238,0.01837356437072608,1.5644770969810853,0.01427256169232766,-0.018375900941554717,1.5644779104662256,0.19561489610154417,-0.0014546231885260164,-0.0014646000765738687,-0.08023510048294197,-0.08024576044978945,-0.08024576044978945,right_arm__right_thigh,0.20243981115341045,0.001698484392495564,0.001688901238633994,-0.06840048089004361,-0.06840260308746066,-0.06840260308746066,right_arm__right_thigh
9.314248611,0.0,0.0,0.0,0.0,1.5708,0.0,0.0,1.5708,-2.3203088570113952e-05,0.029278734360580955,0.014271370123641238,0.01837356437072608,1.5644770969810853,0.01427256169232766,-0.018375900941554717,1.5644779104662256,0.19561489610154417,-0.0014546231885260164,-0.0014646000765738687,-0.08023510048294197,-0.08024576044978945,-0.08024576044978945,right_arm__right_thigh,0.20243981115341045,0.001698484392495564,0.001688901238633994,-0.06840048089004361,-0.06840260308746066,-0.06840260308746066,right_arm__right_thigh
9.326335725,0.0,0.0,0.0,0.0,1.5708,0.0,0.0,1.5708,-2.3203088570113952e-05,0.029278734360580955,0.014271370123641238,0.01837356437072608,1.5644770969810853,0.01427256169232766,-0.018375900941554717,1.5644779104662256,0.19561495485394528,-0.0014545944072979766,-0.0014645709364435044,-0.08023507701556812,-0.08024570765984201,-0.08024570765984201,right_arm__right_thigh,0.20243986987448495,0.001698513257469475,0.0016889304635705482,-0.06840046896838303,-0.06840255744138109,-0.06840255744138109,right_arm__right_thigh
9.347220256,0.0,0.0,0.0,0.0,1.5708,0.0,0.0,1.5708,-2.2568782712512755e-05,0.037288363084127224,0.025164260384288383,0.038312908267205625,1.5720139740448733,0.0251665162801544,-0.03831877033314226,1.5720154819060674,0.19561526296571477,-0.0014544427891172995,-0.00146441880129769,-0.08023494210907636,-0.08024552819509348,-0.08024552819509348,right_arm__right_thigh,0.20979689839388124,0.005216119622888871,0.005207161979993852,-0.056906730244382656,-0.05690721672329635,-0.05690721672329635,right_arm__right_thigh
9.363814185,0.0,0.0,0.0,0.0,1.5708,0.0,0.0,1.5708,-2.2568782712512755e-05,0.037288363084127224,0.025164260384288383,0.038312908267205625,1.5720139740448733,0.0251665162801544,-0.03831877033314226,1.5720154819060674,0.1956155966186918,-0.0014542786952605191,-0.0014642539624012962,-0.08023478744903684,-0.080245340836398,-0.080245340836398,right_arm__right_thigh,0.2097972315793877,0.005216284458375936,0.005207327564018094,-0.05690659517585824,-0.056907042948763316,-0.056907042948763316,right_arm__right_thigh
9.378248397,0.0,0.0,0.0,0.0,1.5708,0.0,0.0,1.5708,-2.2568782712512755e-05,0.037288363084127224,0.025164260384288383,0.038312908267205625,1.5720139740448733,0.0251665162801544,-0.03831877033314226,1.5720154819060674,0.19561594771616977,-0.0014541059874023377,-0.0014640805403374757,-0.08023461582529731,-0.08024515279443387,-0.08024515279443387,right_arm__right_thigh,0.20979758218491532,0.005216457946875364,0.005207501770088913,-0.056906441265734665,-0.05690686969392642,-0.05690686969392642,right_arm__right_thigh
9.393467194000001,0.0,0.0,0.0,0.0,1.5708,0.0,0.0,1.5708,-2.2568782712512755e-05,0.037288363084127224,0.025164260384288383,0.038312908267205625,1.5720139740448733,0.0251665162801544,-0.03831877033314226,1.5720154819060674,0.19561594771616977,-0.0014541059874023377,-0.0014640805403374757,-0.08023461582529731,-0.08024515279443387,-0.08024515279443387,right_arm__right_thigh,0.20979758218491532,0.005216457946875364,0.005207501770088913,-0.056906441265734665,-0.05690686969392642,-0.05690686969392642,right_arm__right_thigh
9.410665148000001,0.0,0.0,0.0,0.0,1.5708,0.0,0.0,1.5708,-2.2568782712512755e-05,0.037288363084127224,0.025164260384288383,0.038312908267205625,1.5720139740448733,0.0251665162801544,-0.03831877033314226,1.5720154819060674,0.19561666274166487,-0.0014537541964338707,-0.0014637274241790232,-0.08023425918719809,-0.08024477972837454,-0.08024477972837454,right_arm__right_thigh,0.2097982962084081,0.005216811328194987,0.005207856482870199,-0.05690611677918074,-0.05690652601459651,-0.05690652601459651,right_arm__right_thigh
9.426994241000001,0.0,0.0,0.0,0.0,1.5708,0.0,0.0,1.5708,-2.2568782712512755e-05,0.037288363084127224,0.025164260384288383,0.038312908267205625,1.5720139740448733,0.0251665162801544,-0.03831877033314226,1.5720154819060674,0.19561701106332027,-0.0014535828074654644,-0.0014635554214489366,-0.08023408477214886,-0.08024460017024868,-0.08024460017024868,right_arm__right_thigh,0.20979864404188217,0.00521698349208885,0.005208029263438191,-0.05690595695925741,-0.05690636024009375,-0.05690636024009375,right_arm__right_thigh
9.443299891,0.0,0.0,0.0,0.0,1.5708,0.0,0.0,1.5708,-2.183476096482888e-05,0.04560055677530656,0.036190145486596645,0.05795869424206909,1.5795048332314834,0.03619245682307546,-0.05796720982469708,1.5795064744318494,0.19561730840084393,-0.0014534364928196764,-0.0014634086073595787,-0.0802339457667548,-0.08024447974754723,-0.08024447974754723,right_arm__right_thigh,0.21702114902190303,0.00870129138955919,0.008692817266906072,-0.045451325775995394,-0.045450882884712246,-0.045451325775995394,left_arm__left_thigh
9.461561814000001,0.0,0.0,0.0,0.0,1.5708,0.0,0.0,1.5708,-2.183476096482888e-05,0.04560055677530656,0.036190145486596645,0.05795869424206909,1.5795048332314834,0.03619245682307546,-0.05796720982469708,1.5795064744318494,0.19561760297940792,-0.0014532916357834214,-0.0014632630559613946,-0.080233796972175,-0.08024434232424812,-0.08024434232424812,right_arm__right_thigh,0.21702144282498417,0.008701437049595445,0.008692963625255984,-0.04545122316258095,-0.04545079437626047,-0.04545122316258095,left_arm__left_thigh
9.477843258,0.0,0.0,0.0,0.0,1.5708,0.0,0.0,1.5708,-2.183476096482888e-05,0.04560055677530656,0.036190145486596645,0.05795869424206909,1.5795048332314834,0.03619245682307546,-0.05796720982469708,1.5795064744318494,0.19561791130765413,-0.0014531399727321925,-0.0014631107559597567,-0.0802336343935694,-0.08024418805619896,-0.08024418805619896,right_arm__right_thigh,0.21702175034150792,0.008701589553462147,0.008693116769712128,-0.04545110506004829,-0.04545068663859178,-0.04545110506004829,left_arm__left_thigh
9.49343237,0.0,0.0,0.0,0.0,1.5708,0.0,0.0,1.5708,-2.183476096482888e-05,0.04560055677530656,0.036190145486596645,0.05795869424206909,1.5795048332314834,0.03619245682307546,-0.05796720982469708,1.5795064744318494,0.1956182232422655,-0.0014529865110491091,-0.00146295669971927,-0.08023346626679348,-0.08024402618855495,-0.08024402618855495,right_arm__right_thigh,0.2170220614548574,0.008701743866022738,0.008693271680236231,-0.04545097926854111,-0.045450568704028096,-0.04545097926854111,left_arm__left_thigh
9.509713316000001,0.0,0.0,0.0,0.0,1.5708,0.0,0.0,1.5708,-2.1224127003575868e-05,0.054082571631172006,0.04723775681353262,0.07754544308790401,1.5868803913631682,0.047239901553355695,-0.07755641360399126,1.5868820420016028,0.19561853003414634,-0.0014528355677504712,-0.0014628051954375665,-0.08023329916094649,-0.08024386364600239,-0.08024386364600239,right_arm__right_thigh,0.22419305980132873,0.012194220889125834,0.012186194325524619,-0.03403506954340453,-0.03403393122754997,-0.03403506954340453,left_arm__left_thigh
9.52859482,0.0,0.0,0.0,0.0,1.5708,0.0,0.0,1.5708,-2.1224127003575868e-05,0.054082571631172006,0.04723775681353262,0.07754544308790401,1.5868803913631682,0.047239901553355695,-0.07755641360399126,1.5868820420016028,0.19561877885309134,-0.0014527131820671613,-0.001462682285867739,-0.0802331575507675,-0.08024372912631902,-0.08024372912631902,right_arm__right_thigh,0.2241933075693929,0.01219434400532296,0.012186317968790189,-0.03403497600995174,-0.03403384672523806,-0.03403497600995174,left_arm__left_thigh
9.543241823,0.0,0.0,0.0,0.0,1.5708,0.0,0.0,1.5708,-2.1224127003575868e-05,0.054082571631172006,0.04723775681353262,0.07754544308790401,1.5868803913631682,0.047239901553355695,-0.07755641360399126,1.5868820420016028,0.19561903238355596,-0.0014525884585760152,-0.0014625570695967205,-0.0802330142293074,-0.08024359285363789,-0.08024359285363789,right_arm__right_thigh,0.2241935600290391,0.012194469473358421,0.012186443932603541,-0.0340348804111822,-0.034033760090034795,-0.0340348804111822,left_arm__left_thigh
